Date Time,Doc No,Item Code,Item Brand,Item Description,Qty,Unit Price,Gross Total,Discount Amt,Sub Total,Sub Total (ex)
20/11/2025 11:49:07,T01-096752,AA AUTO CABLE 2.50MM - BLK,,PVC CABLE 2.50MM BLK,1,69.5,69.5,0,68.68,68.68
20/11/2025 11:49:07,T01-096752,19001,,MEGA CABLE 2.5MM X 100M,4,155,620,0,612.61,612.61
20/11/2025 11:49:07,T01-096752,QL PVC CABLE 2.50MM/BS PVC CABLE,,PVC CABLE 2.5MM SIRIM,2,115,230,0,227.27,227.27
20/11/2025 11:49:07,T01-096752,"STAZS 3/4"" PVC PIPE",,"3/4"" PVC PIPE",6,3.9,23.4,0,23.12,23.12
20/11/2025 11:49:07,T01-096752,1-PVC-PP,,"1"" PVC PIPE",4,4.8,19.2,0,18.97,18.97
20/11/2025 11:49:07,T01-096752,SD-414-6,,"6"" CONCEALED FLOOR GRATING",1,18.9,18.9,0,18.67,18.67
20/11/2025 11:49:07,T01-096752,2503008014/2503008104,,PVC WIRE TAPE (BLACK),1,9,9,0,8.9,8.9
20/11/2025 11:49:07,T01-096752,PVC WALL PLUG 6MM,,PVC WALL PLUG,1,12,12,0,11.85,11.85
20/11/2025 11:49:07,T01-096752,20A PVC CONNECTOR,,20A PVC CONNECTOR,1,35,35,0,34.59,34.59
20/11/2025 11:49:07,T01-096752,3M/VT5/COLLOUR/2503008018,,PVC WIRE TAPE(COLOUR),1,1,1,0,0.98,0.98
20/11/2025 11:49:07,T01-096752,18.0X310MM KNIGHT SDS DRILL,,18 X 310MM SDS D/BIT,1,36.5,36.5,0,36.07,36.07
20/11/2025 11:49:07,T01-096752,T-THT291408,TOTAL,THT291408 3x140MM TEST PEN,1,6.5,6.5,0,6.42,6.42
20/11/2025 11:49:07,T01-096752,3M/VT5/COLLOUR/2503008018,,PVC WIRE TAPE(COLOUR),1,1,1,0,0.99,0.99
20/11/2025 11:49:07,T01-096752,2503002016,,"3/4"" PVC U CLIP",35,0.4,14,0,13.83,13.83
20/11/2025 11:49:07,T01-096752,2503001007,,"1"" PVC U CLIP",20,0.6,12,0,11.86,11.86
20/11/2025 11:49:07,T01-096752,2503001014,,"1"" PVC SOCKET",4,0.5,2,0,1.98,1.98
20/11/2025 11:49:07,T01-096752,2503001004,,"1"" PVC ELBOW",1,0.9,0.9,0,0.89,0.89
20/11/2025 11:49:07,T01-096752,HFTE 20.1/2,,"20MM X 1/2"" HANSEN FTE",1,4.5,4.5,0,4.44,4.44
20/11/2025 11:49:07,T01-096752,HFTA 25.3/4,,"25MM X 3/4"" HANSEN FTA",1,5.3,5.3,0,5.24,5.24
20/11/2025 11:50:01,T01-096753,YTL CEMENT ,,YTL CEMENT ,1,5.5,5.5,0,5.5,5.5
20/11/2025 11:50:21,T01-096754,YINJIAHONG 6.0MM X 160MM SDS DRILL BIT,CHINA STOCK,6.0x160MM SDS DRILL BIT,1,6.5,6.5,0,6.5,6.5
20/11/2025 11:52:29,T01-096755,MKX-HS-1805AG,,15MM UV NET GRN HOSE,1,7,7,0,7,7
20/11/2025 11:52:29,T01-096755,STEEL HOSE CLIP W/HANDLE 16-25MM,CHINA STOCK,STEEL HOSE CLIP W/HDL 16-25MM,1,2.5,2.5,0,2.5,2.5
20/11/2025 11:53:00,T01-096756,2.0MM,,2.0MM IRON HINGES,1,5.5,5.5,0,5.5,5.5
20/11/2025 12:10:49,T01-096757,4811.41.2000 36MM X 12Y,,MASKING TAPE 36MMx12Y,7,2.3,16.1,0,16.04,16.04
20/11/2025 12:10:49,T01-096757,4811.41.2000 48MM X 12Y,,MASKING TAPE 48MMX12Y,4,3,12,0,11.96,11.96
20/11/2025 12:11:25,T01-096758,VM256WP-CL,,VM256 TORCH LIGHTER,1,5.2,5.2,0,5,5
20/11/2025 12:13:10,T01-096759,PR4301-PACK,CHINA STOCK,"4"" P.ROLLER REFILL MOHAIR",1,14.9,14.9,0,14.9,14.9
20/11/2025 12:13:10,T01-096759,VT-202B,,VT202 GP SEALANT BLK,1,8.5,8.5,0,8.5,8.5
20/11/2025 12:13:10,T01-096759,T1-GPW-325,,GP THINNER WHT 325ML,1,4.8,4.8,0,4.8,4.8
20/11/2025 12:13:59,T01-096760,"2.5"" X 680 BOSSKU P/BRUSH",,"2.5""x680 BOSSKU P/BRUSH",1,3.5,3.5,0,3.5,3.5
20/11/2025 12:16:14,T01-096761,12MM DOMINO SEALING TAPE,,12MM SEALING TAPE,2,0.7,1.4,0,1.4,1.4
20/11/2025 12:16:14,T01-096761,RF 98-STF,,S/STEEL MATT PILLAR BASIN TAP,1,55,55,0,55,55
20/11/2025 12:16:14,T01-096761,"1007-1/2"" LOFT",,"1/2"" 1007 ALUM HDL B.COCK",1,28.5,28.5,0,28.5,28.5
